trial_id,trial_type,condition,frame_idx,t_ms,n_dets,n_tracks,det_track_ms,embed_ms,match_ms,total_ms,new_tracks,lost_tracks,unknown_tracks
1771263059933_interfere,interfere,near/dim,1,1771263060126,0,0,84.704,0.0,0.0,86.712,0,0,0
1771263059933_interfere,interfere,near/dim,2,1771263060203,0,0,61.425,0.0,0.0,64.422,0,0,0
1771263059933_interfere,interfere,near/dim,3,1771263060336,2,0,67.614,47.809,1.264,120.939,0,0,1
1771263059933_interfere,interfere,near/dim,4,1771263060419,0,0,66.206,0.0,0.0,68.721,0,0,0
1771263059933_interfere,interfere,near/dim,5,1771263060504,0,0,69.08,0.0,0.0,71.078,0,0,0
1771263059933_interfere,interfere,near/dim,6,1771263060588,0,0,68.917,0.0,0.0,70.917,0,0,0
1771263059933_interfere,interfere,near/dim,7,1771263060698,1,1,70.354,25.59,1.002,99.06,1,0,0
1771263059933_interfere,interfere,near/dim,8,1771263060780,0,0,65.231,0.0,0.0,67.752,0,1,0
1771263059933_interfere,interfere,near/dim,9,1771263060893,1,1,71.733,25.562,0.0,100.805,1,0,0
1771263059933_interfere,interfere,near/dim,10,1771263060997,1,1,65.628,24.698,0.0,92.331,0,0,0
1771263059933_interfere,interfere,near/dim,11,1771263061109,1,1,71.017,23.135,0.999,97.665,0,0,0
1771263059933_interfere,interfere,near/dim,12,1771263061218,1,1,67.772,25.502,0.0,95.779,0,0,0
1771263059933_interfere,interfere,near/dim,13,1771263061335,1,1,73.21,23.815,0.995,102.028,1,1,0
1771263059933_interfere,interfere,near/dim,14,1771263061450,1,1,74.729,25.295,0.517,102.549,0,0,0
1771263059933_interfere,interfere,near/dim,15,1771263061583,2,2,72.699,39.982,1.505,117.197,1,0,0
1771263059933_interfere,interfere,near/dim,16,1771263061709,2,2,66.058,40.933,0.995,110.922,0,0,0
1771263059933_interfere,interfere,near/dim,17,1771263061839,2,2,73.017,39.795,1.0,115.315,0,0,0
1771263059933_interfere,interfere,near/dim,18,1771263061973,2,2,79.341,41.421,0.0,122.766,0,0,0
1771263059933_interfere,interfere,near/dim,19,1771263062104,2,2,70.188,43.314,0.0,117.516,0,0,0
1771263059933_interfere,interfere,near/dim,20,1771263062228,2,2,68.26,38.152,0.0,109.916,0,0,0
1771263059933_interfere,interfere,near/dim,21,1771263062354,2,2,72.101,37.824,1.503,115.441,0,0,0
1771263059933_interfere,interfere,near/dim,22,1771263062481,2,2,70.899,40.142,0.999,115.735,0,0,0
1771263059933_interfere,interfere,near/dim,23,1771263062613,2,2,73.9,40.247,0.0,118.157,0,0,0
1771263059933_interfere,interfere,near/dim,24,1771263062736,2,2,68.976,38.148,0.999,110.123,0,0,0
1771263059933_interfere,interfere,near/dim,25,1771263062864,2,2,73.108,40.181,1.008,116.305,0,0,0
