trial_id,trial_type,condition,frame_idx,t_ms,n_dets,n_tracks,det_track_ms,embed_ms,match_ms,total_ms,new_tracks,lost_tracks,unknown_tracks
1768838681123_interfere,interfere,near/dim,1,1768838681791,5,5,116.101,153.513,1.998,291.226,5,0,5
1768838681123_interfere,interfere,near/dim,2,1768838682185,5,5,123.675,208.65,3.056,359.668,0,0,5
1768838681123_interfere,interfere,near/dim,3,1768838682592,4,4,164.336,177.323,1.522,366.575,0,1,4
1768838681123_interfere,interfere,near/dim,4,1768838683080,5,5,177.572,236.932,2.998,444.28,1,0,5
1768838681123_interfere,interfere,near/dim,5,1768838683523,4,4,169.263,203.378,3.002,400.601,0,1,4
1768838681123_interfere,interfere,near/dim,6,1768838683982,5,5,170.755,221.111,2.998,418.777,1,0,5
1768838681123_interfere,interfere,near/dim,7,1768838684447,5,5,177.638,218.496,2.996,424.193,0,0,5
1768838681123_interfere,interfere,near/dim,8,1768838684851,4,4,162.982,173.964,2.062,364.333,0,1,4
1768838681123_interfere,interfere,near/dim,9,1768838685301,4,4,167.95,212.716,2.998,408.435,0,0,4
1768838681123_interfere,interfere,near/dim,10,1768838685718,4,4,165.915,182.965,2.05,375.489,0,0,4
1768838681123_interfere,interfere,near/dim,11,1768838686123,4,4,164.461,174.142,2.082,364.077,0,0,4
1768838681123_interfere,interfere,near/dim,12,1768838686512,4,4,152.665,168.94,2.99,348.407,0,0,4
1768838681123_interfere,interfere,near/dim,13,1768838686992,4,4,160.349,253.03,2.914,440.184,0,0,4
1768838681123_interfere,interfere,near/dim,14,1768838687293,2,2,146.352,94.346,1.001,261.268,0,2,2
1768838681123_interfere,interfere,near/dim,15,1768838687673,2,2,210.471,102.985,1.998,337.177,1,1,2
1768838681123_interfere,interfere,near/dim,16,1768838688008,2,2,167.575,104.208,1.043,293.903,0,0,2
1768838681123_interfere,interfere,near/dim,17,1768838688320,2,2,154.664,97.361,0.998,274.544,0,0,2
1768838681123_interfere,interfere,near/dim,18,1768838688645,2,2,154.303,101.944,1.035,283.344,0,0,2
1768838681123_interfere,interfere,near/dim,19,1768838688960,2,2,161.814,91.339,1.971,274.863,0,0,2
1768838681123_interfere,interfere,near/dim,20,1768838689269,2,2,152.687,95.105,2.214,270.724,0,0,2
1768838681123_interfere,interfere,near/dim,21,1768838689675,2,2,222.817,109.895,1.0,357.368,1,1,2
1768838681123_interfere,interfere,near/dim,22,1768838690055,2,2,194.29,112.35,1.909,331.806,0,0,2
1768838681123_interfere,interfere,near/dim,23,1768838690411,2,2,180.286,110.045,1.156,312.463,0,0,2
1768838681123_interfere,interfere,near/dim,24,1768838690753,2,2,168.4,110.904,2.075,302.575,0,0,2
1768838681123_interfere,interfere,near/dim,25,1768838691102,2,2,179.761,107.54,1.159,307.703,0,0,2
1768838681123_interfere,interfere,near/dim,26,1768838691437,2,2,167.823,104.035,1.999,296.51,1,1,2
1768838681123_interfere,interfere,near/dim,27,1768838691769,1,1,202.357,63.909,0.0,286.876,0,1,1
1768838681123_interfere,interfere,near/dim,28,1768838692071,1,1,168.708,74.188,0.785,262.28,0,0,1
1768838681123_interfere,interfere,near/dim,29,1768838692349,1,1,151.497,64.946,0.0,238.781,0,0,1
1768838681123_interfere,interfere,near/dim,30,1768838692660,2,2,153.81,95.249,1.002,271.872,1,0,2
1768838681123_interfere,interfere,near/dim,31,1768838692946,1,1,164.518,62.182,0.0,246.541,0,1,1
1768838681123_interfere,interfere,near/dim,32,1768838693258,2,2,146.646,100.343,2.0,270.103,1,0,2
1768838681123_interfere,interfere,near/dim,33,1768838693573,2,2,156.775,95.229,0.0,275.092,0,0,2
1768838681123_interfere,interfere,near/dim,34,1768838693886,2,2,155.641,96.751,0.999,274.492,0,0,2
1768838681123_interfere,interfere,near/dim,35,1768838694194,2,2,150.0,96.427,1.975,268.899,0,0,2
1768838681123_interfere,interfere,near/dim,36,1768838694542,2,2,191.697,95.435,0.998,309.133,0,0,2
1768838681123_interfere,interfere,near/dim,37,1768838694838,2,2,140.973,93.607,1.051,256.294,0,0,2
1768838681123_interfere,interfere,near/dim,38,1768838695137,2,2,149.673,90.179,0.998,260.176,0,0,2
1768838681123_interfere,interfere,near/dim,39,1768838695435,2,2,148.971,90.222,1.014,259.837,0,0,2
1768838681123_interfere,interfere,near/dim,40,1768838695734,2,2,142.603,93.875,1.776,259.014,0,0,2
1768838681123_interfere,interfere,near/dim,41,1768838696045,2,2,159.389,87.567,1.971,270.083,0,0,2
1768838681123_interfere,interfere,near/dim,42,1768838696339,2,2,143.811,91.11,0.999,255.008,0,0,2
1768838681123_interfere,interfere,near/dim,43,1768838696654,2,2,137.283,112.029,1.048,273.482,0,0,2
1768838681123_interfere,interfere,near/dim,44,1768838696949,2,2,144.149,91.865,0.53,256.559,0,0,2
1768838681123_interfere,interfere,near/dim,45,1768838697236,2,2,140.737,86.808,1.0,248.868,0,0,2
1768838681123_interfere,interfere,near/dim,46,1768838697562,2,2,168.94,96.975,0.49,287.563,0,0,2
1768838681123_interfere,interfere,near/dim,47,1768838697884,2,2,149.329,108.681,0.998,279.171,0,0,2
1768838681123_interfere,interfere,near/dim,48,1768838698154,1,1,146.347,60.646,1.052,226.31,0,1,1
1768838681123_interfere,interfere,near/dim,49,1768838698442,1,1,164.489,63.334,0.0,249.244,0,0,1
1768838681123_interfere,interfere,near/dim,50,1768838698729,1,1,163.499,64.084,0.0,246.274,0,0,1
1768838681123_interfere,interfere,near/dim,51,1768838699036,1,1,188.236,61.117,0.841,268.949,0,0,1
1768838681123_interfere,interfere,near/dim,52,1768838699327,2,2,140.218,92.307,1.522,254.717,1,0,2
