trial_id,trial_type,condition,t_ms,event,track_id,pred,gt,sim
1772649058591_swipe,swipe,near/bright,1772649058874,track_new,1,,,
1772649058591_swipe,swipe,near/bright,1772649060365,track_lost,1,,,
1772649058591_swipe,swipe,near/bright,1772649060468,track_new,2,,,
1772649058591_swipe,swipe,near/bright,1772649060904,track_lost,2,,,
1772649058591_swipe,swipe,near/bright,1772649061313,track_lost,2,,,
1772649058591_swipe,swipe,near/bright,1772649061412,track_new,3,,,
1772649058591_swipe,swipe,near/bright,1772649061611,track_lost,3,,,
1772649058591_swipe,swipe,near/bright,1772649067255,track_lost,2,,,
1772649058591_swipe,swipe,near/bright,1772649069895,track_new,12,,,
1772649058591_swipe,swipe,near/bright,1772649071960,track_new,29,,,
1772649058591_swipe,swipe,near/bright,1772649071960,track_lost,12,,,
1772649058591_swipe,swipe,near/bright,1772649073183,track_lost,29,,,
1772649058591_swipe,swipe,near/bright,1772649073545,track_new,30,,,
1772649058591_swipe,swipe,near/bright,1772649075090,track_lost,30,,,
1772649058591_swipe,swipe,near/bright,1772649075240,track_new,31,,,
