trial_id,trial_type,condition,frame_idx,t_ms,n_dets,n_tracks,det_track_ms,embed_ms,match_ms,total_ms,new_tracks,lost_tracks,unknown_tracks
1771864553215_swipe,swipe,near/bright,1,1771864554067,3,3,641.786,80.724,0.991,728.491,3,0,3
1771864553215_swipe,swipe,near/bright,2,1771864554223,3,3,58.1,79.005,1.504,140.614,0,0,3
1771864553215_swipe,swipe,near/bright,3,1771864554359,3,3,57.988,59.942,1.0,121.931,0,0,3
1771864553215_swipe,swipe,near/bright,4,1771864554498,3,3,52.51,68.0,1.0,124.51,0,0,3
1771864553215_swipe,swipe,near/bright,5,1771864554666,3,3,72.508,76.813,0.0,153.321,0,0,3
1771864553215_swipe,swipe,near/bright,6,1771864554806,3,3,56.279,65.999,0.0,126.282,0,0,3
1771864553215_swipe,swipe,near/bright,7,1771864554957,3,3,55.1,78.797,0.0,137.897,0,0,3
1771864553215_swipe,swipe,near/bright,8,1771864555087,3,3,62.044,50.398,0.993,115.434,0,0,3
1771864553215_swipe,swipe,near/bright,9,1771864555211,3,3,50.526,56.001,0.0,109.53,0,0,3
1771864553215_swipe,swipe,near/bright,10,1771864555345,3,3,57.03,59.514,1.0,120.544,0,0,3
1771864553215_swipe,swipe,near/bright,11,1771864555498,3,3,63.505,71.081,0.0,138.589,0,0,3
1771864553215_swipe,swipe,near/bright,12,1771864555663,3,3,77.506,70.507,1.003,152.015,0,0,3
1771864553215_swipe,swipe,near/bright,13,1771864555804,3,3,49.51,72.155,0.0,125.665,0,0,3
1771864553215_swipe,swipe,near/bright,14,1771864555938,3,3,49.452,67.377,1.001,120.829,0,0,3
1771864553215_swipe,swipe,near/bright,15,1771864556090,3,3,71.802,61.865,1.003,137.67,0,0,3
1771864553215_swipe,swipe,near/bright,16,1771864556237,3,3,56.51,72.001,0.999,133.519,0,0,3
1771864553215_swipe,swipe,near/bright,17,1771864556371,3,3,56.704,61.512,1.001,122.216,0,0,3
1771864553215_swipe,swipe,near/bright,18,1771864556531,3,3,62.506,80.505,0.0,146.065,0,0,3
1771864553215_swipe,swipe,near/bright,19,1771864556689,3,3,64.325,75.017,1.008,144.343,0,0,3
1771864553215_swipe,swipe,near/bright,20,1771864556834,3,3,60.5,66.658,1.0,131.157,0,0,3
1771864553215_swipe,swipe,near/bright,21,1771864557007,3,3,59.495,94.143,1.007,158.646,0,0,3
1771864553215_swipe,swipe,near/bright,22,1771864557209,4,4,68.738,115.346,0.0,188.087,1,0,4
1771864553215_swipe,swipe,near/bright,23,1771864557385,4,4,65.509,91.161,1.514,160.712,0,0,4
1771864553215_swipe,swipe,near/bright,24,1771864557551,4,4,65.791,79.508,1.0,150.301,0,0,4
1771864553215_swipe,swipe,near/bright,25,1771864557694,4,4,52.004,71.191,1.0,128.194,0,0,4
1771864553215_swipe,swipe,near/bright,26,1771864557865,4,4,58.622,95.846,1.0,158.463,0,0,4
1771864553215_swipe,swipe,near/bright,27,1771864558022,3,3,64.51,73.286,1.0,142.795,0,1,3
1771864553215_swipe,swipe,near/bright,28,1771864558167,3,3,64.616,61.89,0.999,130.008,0,0,3
1771864553215_swipe,swipe,near/bright,29,1771864558322,4,4,57.115,79.95,0.0,140.064,1,0,4
1771864553215_swipe,swipe,near/bright,30,1771864558494,4,4,47.003,97.51,1.001,157.625,0,0,4
1771864553215_swipe,swipe,near/bright,31,1771864558645,3,3,58.419,74.634,1.0,137.051,0,1,3
1771864553215_swipe,swipe,near/bright,32,1771864558845,4,4,75.311,106.508,1.0,185.817,1,0,4
1771864553215_swipe,swipe,near/bright,33,1771864559007,3,3,59.005,85.037,0.0,147.573,0,1,3
1771864553215_swipe,swipe,near/bright,34,1771864559176,4,4,69.223,83.41,1.005,157.642,1,0,4
1771864553215_swipe,swipe,near/bright,35,1771864559348,4,4,65.5,89.509,0.0,159.009,0,0,4
1771864553215_swipe,swipe,near/bright,36,1771864559503,4,4,61.061,75.507,0.999,141.567,0,0,4
1771864553215_swipe,swipe,near/bright,37,1771864559660,3,3,64.505,74.96,1.0,143.466,0,1,3
1771864553215_swipe,swipe,near/bright,38,1771864559838,3,3,82.871,78.514,0.0,163.385,0,0,3
1771864553215_swipe,swipe,near/bright,39,1771864559976,3,3,60.003,60.527,1.0,124.531,0,0,3
1771864553215_swipe,swipe,near/bright,40,1771864560130,3,3,58.753,76.219,1.0,138.478,0,0,3
1771864553215_swipe,swipe,near/bright,41,1771864560318,4,4,66.0,106.508,1.0,176.514,1,0,4
1771864553215_swipe,swipe,near/bright,42,1771864560474,4,4,61.22,75.941,0.742,141.191,0,0,4
1771864553215_swipe,swipe,near/bright,43,1771864560635,4,4,52.202,92.148,1.0,149.354,0,0,4
1771864553215_swipe,swipe,near/bright,44,1771864560786,3,3,71.018,63.505,0.999,138.523,0,1,3
1771864553215_swipe,swipe,near/bright,45,1771864560922,3,3,54.516,64.718,1.0,122.234,0,0,3
1771864553215_swipe,swipe,near/bright,46,1771864561059,3,3,60.3,57.51,1.0,121.81,0,0,3
1771864553215_swipe,swipe,near/bright,47,1771864561199,3,3,66.548,56.102,0.998,126.648,0,0,3
1771864553215_swipe,swipe,near/bright,48,1771864561332,3,3,47.516,68.003,0.503,119.025,0,0,3
1771864553215_swipe,swipe,near/bright,49,1771864561494,3,3,81.007,62.799,0.0,147.804,0,0,3
1771864553215_swipe,swipe,near/bright,50,1771864561623,2,2,62.509,50.005,0.0,115.515,0,1,2
1771864553215_swipe,swipe,near/bright,51,1771864561733,2,2,46.321,45.545,0.0,94.872,0,0,2
1771864553215_swipe,swipe,near/bright,52,1771864561864,2,2,63.447,48.974,0.0,115.419,0,0,2
1771864553215_swipe,swipe,near/bright,53,1771864561984,2,2,56.215,47.223,0.0,107.437,0,0,2
1771864553215_swipe,swipe,near/bright,54,1771864562113,2,2,67.559,45.394,1.0,115.952,0,0,2
1771864553215_swipe,swipe,near/bright,55,1771864562243,2,2,60.335,50.94,1.0,115.275,0,0,2
1771864553215_swipe,swipe,near/bright,56,1771864562368,2,2,63.47,41.546,1.0,109.017,0,0,2
1771864553215_swipe,swipe,near/bright,57,1771864562477,2,2,57.505,34.999,0.0,95.504,0,0,2
1771864553215_swipe,swipe,near/bright,58,1771864562609,2,2,64.2,51.529,1.0,118.73,0,0,2
1771864553215_swipe,swipe,near/bright,59,1771864562773,3,3,73.288,74.213,0.0,150.128,1,0,3
1771864553215_swipe,swipe,near/bright,60,1771864562914,3,3,51.195,70.745,0.0,125.939,0,0,3
1771864553215_swipe,swipe,near/bright,61,1771864563069,3,3,70.011,67.573,0.999,141.583,0,0,3
1771864553215_swipe,swipe,near/bright,62,1771864563199,3,3,48.222,64.999,0.0,117.22,0,0,3
1771864553215_swipe,swipe,near/bright,63,1771864563328,3,3,52.511,58.999,1.0,115.532,0,0,3
1771864553215_swipe,swipe,near/bright,64,1771864563471,3,3,59.0,65.535,1.0,128.537,0,0,3
1771864553215_swipe,swipe,near/bright,65,1771864563613,3,3,58.516,66.001,0.0,128.574,0,0,3
1771864553215_swipe,swipe,near/bright,66,1771864563747,2,2,72.027,44.531,1.004,119.56,0,1,2
1771864553215_swipe,swipe,near/bright,67,1771864563866,2,2,61.369,42.272,0.0,107.641,0,0,2
1771864553215_swipe,swipe,near/bright,68,1771864563986,2,2,54.512,47.117,1.0,105.629,0,0,2
1771864553215_swipe,swipe,near/bright,69,1771864564141,3,3,67.78,68.845,0.0,140.625,1,0,3
1771864553215_swipe,swipe,near/bright,70,1771864564323,3,3,79.044,84.587,1.003,167.633,0,0,3
1771864553215_swipe,swipe,near/bright,71,1771864564475,3,3,65.294,69.587,0.0,138.005,0,0,3
1771864553215_swipe,swipe,near/bright,72,1771864564654,3,3,84.557,76.929,0.999,165.488,0,0,3
1771864553215_swipe,swipe,near/bright,73,1771864564809,3,3,52.996,85.919,0.0,141.914,0,0,3
1771864553215_swipe,swipe,near/bright,74,1771864564955,3,3,63.507,63.917,0.0,131.424,0,0,3
1771864553215_swipe,swipe,near/bright,75,1771864565066,2,2,61.067,33.322,0.0,96.911,0,1,2
1771864553215_swipe,swipe,near/bright,76,1771864565214,3,3,63.234,66.0,0.999,134.234,1,0,3
1771864553215_swipe,swipe,near/bright,77,1771864565370,3,3,67.769,68.533,1.0,141.301,0,0,3
1771864553215_swipe,swipe,near/bright,78,1771864565533,3,3,60.198,85.006,0.999,149.203,0,0,3
1771864553215_swipe,swipe,near/bright,79,1771864565698,3,3,78.257,69.519,1.0,151.779,0,0,3
1771864553215_swipe,swipe,near/bright,80,1771864565860,3,3,63.517,82.938,0.0,149.456,0,0,3
1771864553215_swipe,swipe,near/bright,81,1771864565991,3,3,59.066,54.507,0.999,118.571,0,0,3
1771864553215_swipe,swipe,near/bright,82,1771864566159,3,3,77.781,71.898,0.999,153.688,0,0,3
1771864553215_swipe,swipe,near/bright,83,1771864566305,3,3,65.436,62.004,0.0,130.438,0,0,3
