trial_id,trial_type,condition,t_ms,event,track_id,pred,gt,sim
1771864553215_swipe,swipe,near/bright,1771864554063,track_new,1,,,
1771864553215_swipe,swipe,near/bright,1771864554064,track_new,2,,,
1771864553215_swipe,swipe,near/bright,1771864554064,track_new,3,,,
1771864553215_swipe,swipe,near/bright,1771864557206,track_new,4,,,
1771864553215_swipe,swipe,near/bright,1771864558019,track_lost,4,,,
1771864553215_swipe,swipe,near/bright,1771864558643,track_lost,4,,,
1771864553215_swipe,swipe,near/bright,1771864559004,track_lost,4,,,
1771864553215_swipe,swipe,near/bright,1771864559657,track_lost,4,,,
1771864553215_swipe,swipe,near/bright,1771864560783,track_lost,4,,,
1771864553215_swipe,swipe,near/bright,1771864561621,track_lost,1,,,
1771864553215_swipe,swipe,near/bright,1771864562771,track_new,7,,,
1771864553215_swipe,swipe,near/bright,1771864563745,track_lost,2,,,
1771864553215_swipe,swipe,near/bright,1771864565064,track_lost,2,,,
1771864553215_swipe,swipe,near/bright,1771864566450,track_lost,2,,,
1771864553215_swipe,swipe,near/bright,1771864568372,track_lost,2,,,
1771864553215_swipe,swipe,near/bright,1771864568987,track_lost,2,,,
1771864553215_swipe,swipe,near/bright,1771864572454,track_lost,7,,,
1771864553215_swipe,swipe,near/bright,1771864572611,track_new,8,,,
