trial_id,trial_type,condition,frame_idx,t_ms,n_dets,n_tracks,det_track_ms,embed_ms,match_ms,total_ms,new_tracks,lost_tracks,unknown_tracks
1774975824226_swipe,swipe,near/bright,1,1774975824414,1,1,90.2,21.0,0.999,114.199,1,0,0
1774975824226_swipe,swipe,near/bright,2,1774975824516,1,1,66.651,20.999,0.0,90.651,0,0,0
1774975824226_swipe,swipe,near/bright,3,1774975824634,1,1,81.561,21.004,0.0,105.565,0,0,0
1774975824226_swipe,swipe,near/bright,4,1774975824743,1,1,74.006,21.002,0.999,98.007,0,0,0
1774975824226_swipe,swipe,near/bright,5,1774975824856,1,1,77.003,21.508,0.0,100.511,0,0,0
1774975824226_swipe,swipe,near/bright,6,1774975824967,1,1,74.004,21.506,1.0,98.51,0,0,0
1774975824226_swipe,swipe,near/bright,7,1774975825075,1,1,72.239,21.001,0.999,95.239,0,0,0
1774975824226_swipe,swipe,near/bright,8,1774975825207,1,1,95.238,20.997,0.0,119.237,0,0,0
1774975824226_swipe,swipe,near/bright,9,1774975825316,1,1,70.512,23.001,0.652,95.17,0,0,0
1774975824226_swipe,swipe,near/bright,10,1774975825430,1,1,77.24,23.0,0.0,103.24,0,0,0
1774975824226_swipe,swipe,near/bright,11,1774975825542,1,1,75.513,23.0,0.0,99.513,0,0,0
1774975824226_swipe,swipe,near/bright,12,1774975825662,1,1,80.417,24.509,0.0,107.926,0,0,0
1774975824226_swipe,swipe,near/bright,13,1774975825790,1,1,87.019,22.518,0.0,112.537,0,0,0
1774975824226_swipe,swipe,near/bright,14,1774975825896,1,1,70.511,22.001,0.0,95.511,0,0,0
1774975824226_swipe,swipe,near/bright,15,1774975826002,1,1,70.769,22.0,0.0,94.769,0,0,0
1774975824226_swipe,swipe,near/bright,16,1774975826114,1,1,69.043,27.004,1.0,99.56,0,0,0
1774975824226_swipe,swipe,near/bright,17,1774975826226,1,1,75.512,20.003,0.998,98.514,0,0,0
1774975824226_swipe,swipe,near/bright,18,1774975826338,1,1,71.506,24.01,0.0,98.513,0,0,0
1774975824226_swipe,swipe,near/bright,19,1774975826457,1,1,80.307,22.687,0.539,106.716,0,0,0
1774975824226_swipe,swipe,near/bright,20,1774975826586,1,1,84.662,27.513,0.0,115.544,0,0,0
1774975824226_swipe,swipe,near/bright,21,1774975826699,1,1,72.185,21.999,0.0,98.184,0,0,0
1774975824226_swipe,swipe,near/bright,22,1774975826807,1,1,73.51,19.001,0.0,95.511,0,0,0
1774975824226_swipe,swipe,near/bright,23,1774975826908,1,1,67.366,21.473,0.0,90.205,0,0,0
1774975824226_swipe,swipe,near/bright,24,1774975827025,1,1,73.201,26.16,1.0,103.36,0,0,0
1774975824226_swipe,swipe,near/bright,25,1774975827148,1,1,84.613,21.505,0.0,109.624,0,0,0
1774975824226_swipe,swipe,near/bright,26,1774975827261,1,1,72.108,27.513,0.0,102.621,0,0,0
1774975824226_swipe,swipe,near/bright,27,1774975827370,1,1,72.751,21.004,0.0,97.256,0,0,0
1774975824226_swipe,swipe,near/bright,28,1774975827484,1,1,75.658,21.0,0.0,98.657,0,0,0
1774975824226_swipe,swipe,near/bright,29,1774975827603,1,1,81.971,21.0,0.0,105.971,0,0,0
1774975824226_swipe,swipe,near/bright,30,1774975827720,1,1,78.598,23.385,0.0,103.982,0,0,0
1774975824226_swipe,swipe,near/bright,31,1774975827832,1,1,72.458,23.031,0.0,99.499,0,0,0
1774975824226_swipe,swipe,near/bright,32,1774975827939,1,1,72.468,21.003,0.0,96.47,0,0,0
1774975824226_swipe,swipe,near/bright,33,1774975828047,1,1,71.822,22.002,0.0,95.828,0,0,0
1774975824226_swipe,swipe,near/bright,34,1774975828167,1,1,83.31,21.511,0.999,108.82,0,0,0
1774975824226_swipe,swipe,near/bright,35,1774975828281,1,1,75.531,24.0,1.0,101.531,0,0,0
1774975824226_swipe,swipe,near/bright,36,1774975828400,1,1,84.507,21.069,0.0,107.577,0,0,0
1774975824226_swipe,swipe,near/bright,37,1774975828513,1,1,76.913,22.0,0.0,101.915,0,0,0
1774975824226_swipe,swipe,near/bright,38,1774975828631,1,1,81.231,23.002,1.0,107.232,0,0,0
1774975824226_swipe,swipe,near/bright,39,1774975828763,1,1,92.64,23.512,0.0,118.154,0,0,0
