trial_id,trial_type,condition,frame_idx,t_ms,n_dets,n_tracks,det_track_ms,embed_ms,match_ms,total_ms,new_tracks,lost_tracks,unknown_tracks
1771262099016_interfere,interfere,near/bright,1,1771262099516,1,1,340.765,25.589,0.0,367.357,1,0,1
1771262099016_interfere,interfere,near/bright,2,1771262099635,1,1,75.433,23.576,0.0,102.002,0,0,1
1771262099016_interfere,interfere,near/bright,3,1771262099750,1,0,69.585,24.193,0.0,97.289,0,1,0
1771262099016_interfere,interfere,near/bright,4,1771262099858,1,1,66.805,23.937,0.0,93.251,1,0,1
1771262099016_interfere,interfere,near/bright,5,1771262099972,1,1,67.026,24.577,0.0,95.14,0,0,1
1771262099016_interfere,interfere,near/bright,6,1771262100065,0,0,73.78,0.0,0.0,76.778,0,1,0
1771262099016_interfere,interfere,near/bright,7,1771262100176,1,1,70.409,23.284,1.0,96.691,1,0,1
1771262099016_interfere,interfere,near/bright,8,1771262100290,1,1,68.921,24.969,0.0,96.401,0,0,1
1771262099016_interfere,interfere,near/bright,9,1771262100434,2,2,80.845,43.418,1.0,128.351,1,0,1
1771262099016_interfere,interfere,near/bright,10,1771262100567,2,2,70.11,40.64,0.0,114.747,0,0,1
1771262099016_interfere,interfere,near/bright,11,1771262100696,2,2,67.764,40.181,0.0,112.2,0,0,1
1771262099016_interfere,interfere,near/bright,12,1771262100828,2,2,68.768,44.096,0.999,116.371,0,0,1
1771262099016_interfere,interfere,near/bright,13,1771262100973,2,2,82.922,39.652,0.0,126.632,0,0,1
1771262099016_interfere,interfere,near/bright,14,1771262101106,2,2,71.438,40.549,1.002,115.984,0,0,1
1771262099016_interfere,interfere,near/bright,15,1771262101238,2,2,68.503,44.434,1.0,116.939,0,0,1
1771262099016_interfere,interfere,near/bright,16,1771262101369,2,2,66.444,46.551,0.0,116.282,0,0,1
1771262099016_interfere,interfere,near/bright,17,1771262101482,1,1,69.967,24.609,0.0,97.585,0,1,1
1771262099016_interfere,interfere,near/bright,18,1771262101589,1,1,64.733,25.554,0.0,91.793,0,0,1
1771262099016_interfere,interfere,near/bright,19,1771262101716,2,2,67.849,41.056,1.008,112.905,1,0,1
1771262099016_interfere,interfere,near/bright,20,1771262101839,2,2,64.838,39.43,0.999,107.786,0,0,1
1771262099016_interfere,interfere,near/bright,21,1771262101965,2,2,65.856,40.645,0.0,108.496,0,0,1
1771262099016_interfere,interfere,near/bright,22,1771262102093,2,2,69.433,39.602,1.413,113.472,0,0,1
1771262099016_interfere,interfere,near/bright,23,1771262102220,2,2,68.03,38.675,1.507,111.726,0,0,1
1771262099016_interfere,interfere,near/bright,24,1771262102346,2,2,67.639,40.268,0.0,110.983,0,0,1
1771262099016_interfere,interfere,near/bright,25,1771262102481,2,2,75.956,39.927,0.507,120.426,0,0,1
1771262099016_interfere,interfere,near/bright,26,1771262102588,1,1,66.926,22.979,0.0,92.416,0,1,0
1771262099016_interfere,interfere,near/bright,27,1771262102715,2,2,67.379,39.903,1.008,112.797,1,0,1
1771262099016_interfere,interfere,near/bright,28,1771262102841,2,2,67.888,38.976,1.011,110.885,0,0,1
1771262099016_interfere,interfere,near/bright,29,1771262102968,2,2,63.652,43.272,0.0,108.925,0,0,1
1771262099016_interfere,interfere,near/bright,30,1771262103113,2,2,74.951,44.794,0.522,124.323,0,0,1
1771262099016_interfere,interfere,near/bright,31,1771262103252,2,2,71.093,45.663,0.0,121.287,0,0,1
1771262099016_interfere,interfere,near/bright,32,1771262103380,2,2,67.454,40.178,0.0,112.16,0,0,1
1771262099016_interfere,interfere,near/bright,33,1771262103538,2,2,91.848,44.16,1.0,139.006,0,0,1
1771262099016_interfere,interfere,near/bright,34,1771262103667,2,2,67.651,42.257,1.0,112.904,0,0,1
1771262099016_interfere,interfere,near/bright,35,1771262103792,2,2,66.195,41.058,0.0,109.26,0,0,1
1771262099016_interfere,interfere,near/bright,36,1771262103922,2,2,70.278,39.676,0.0,112.471,0,0,1
1771262099016_interfere,interfere,near/bright,37,1771262104049,2,2,66.462,40.884,1.002,111.217,0,0,1
1771262099016_interfere,interfere,near/bright,38,1771262104177,2,2,67.059,40.898,0.0,110.959,0,0,1
1771262099016_interfere,interfere,near/bright,39,1771262104306,2,2,68.042,40.293,0.996,113.323,0,0,1
1771262099016_interfere,interfere,near/bright,40,1771262104429,2,2,66.117,39.097,1.004,107.556,0,0,1
1771262099016_interfere,interfere,near/bright,41,1771262104556,2,2,67.252,39.608,0.0,109.86,0,0,1
1771262099016_interfere,interfere,near/bright,42,1771262104686,2,2,65.768,43.252,0.0,113.562,0,0,1
1771262099016_interfere,interfere,near/bright,43,1771262104811,2,2,68.68,38.23,0.0,110.976,0,0,1
1771262099016_interfere,interfere,near/bright,44,1771262104942,2,2,69.006,44.094,0.0,115.102,0,0,1
1771262099016_interfere,interfere,near/bright,45,1771262105068,2,2,64.579,41.359,1.0,109.936,0,0,1
1771262099016_interfere,interfere,near/bright,46,1771262105198,2,2,70.561,39.801,0.0,114.361,0,0,1
1771262099016_interfere,interfere,near/bright,47,1771262105329,2,2,67.839,41.976,0.0,113.343,0,0,1
1771262099016_interfere,interfere,near/bright,48,1771262105456,2,2,67.511,40.32,0.0,109.836,0,0,1
1771262099016_interfere,interfere,near/bright,49,1771262105590,2,2,69.82,43.332,0.0,115.719,0,0,1
1771262099016_interfere,interfere,near/bright,50,1771262105716,2,2,64.939,41.819,0.0,109.761,0,0,1
1771262099016_interfere,interfere,near/bright,51,1771262105845,2,2,68.995,40.037,1.003,112.036,0,0,1
1771262099016_interfere,interfere,near/bright,52,1771262105974,2,2,68.788,40.002,1.004,111.794,0,0,1
1771262099016_interfere,interfere,near/bright,53,1771262106103,2,2,71.238,37.722,1.506,112.472,0,0,1
1771262099016_interfere,interfere,near/bright,54,1771262106233,2,2,66.824,39.696,0.0,110.52,0,0,1
1771262099016_interfere,interfere,near/bright,55,1771262106357,2,2,67.598,39.155,0.998,110.743,0,0,1
1771262099016_interfere,interfere,near/bright,56,1771262106478,2,2,63.828,37.067,0.0,104.897,0,0,1
1771262099016_interfere,interfere,near/bright,57,1771262106604,2,2,67.623,39.23,0.0,109.864,0,0,1
1771262099016_interfere,interfere,near/bright,58,1771262106732,2,2,68.888,39.368,0.0,110.746,0,0,1
1771262099016_interfere,interfere,near/bright,59,1771262106856,2,2,66.353,39.304,0.0,108.659,0,0,1
1771262099016_interfere,interfere,near/bright,60,1771262106982,2,2,65.345,40.032,1.325,109.766,0,0,1
