trial_id,trial_type,condition,t_ms,event,track_id,pred,gt,sim
1772649157070_interfere,interfere,near/bright,1772649157248,track_new,1,,,
1772649157070_interfere,interfere,near/bright,1772649158560,track_new,14,,,
1772649157070_interfere,interfere,near/bright,1772649158560,track_lost,1,,,
1772649157070_interfere,interfere,near/bright,1772649161389,track_new,32,,,
1772649157070_interfere,interfere,near/bright,1772649161389,track_lost,14,,,
1772649157070_interfere,interfere,near/bright,1772649163559,track_lost,32,,,
1772649157070_interfere,interfere,near/bright,1772649163658,track_new,33,,,
1772649157070_interfere,interfere,near/bright,1772649164332,track_lost,33,,,
1772649157070_interfere,interfere,near/bright,1772649164609,track_new,34,,,
1772649157070_interfere,interfere,near/bright,1772649164685,track_lost,34,,,
1772649157070_interfere,interfere,near/bright,1772649167054,track_lost,34,,,
1772649157070_interfere,interfere,near/bright,1772649168079,track_new,59,,,
1772649157070_interfere,interfere,near/bright,1772649168079,track_lost,34,,,
1772649157070_interfere,interfere,near/bright,1772649176696,track_lost,34,,,
1772649157070_interfere,interfere,near/bright,1772649180218,track_lost,59,,,
1772649157070_interfere,interfere,near/bright,1772649181819,track_lost,34,,,
1772649157070_interfere,interfere,near/bright,1772649181922,track_new,64,,,
1772649157070_interfere,interfere,near/bright,1772649182101,track_lost,64,,,
