trial_id,trial_type,condition,t_ms,event,track_id,pred,gt,sim
1773325477700_reentry,reentry,near/dim,1773325478747,track_new,1,,,
1773325477700_reentry,reentry,near/dim,1773325479424,track_lost,1,,,
1773325477700_reentry,reentry,near/dim,1773325481880,track_new,2,,,
1773325477700_reentry,reentry,near/dim,1773325482241,track_lost,2,,,
1773325477700_reentry,reentry,near/dim,1773325483359,track_lost,1,,,
1773325477700_reentry,reentry,near/dim,1773325485601,track_new,4,,,
1773325477700_reentry,reentry,near/dim,1773325486807,track_lost,4,,,
1773325477700_reentry,reentry,near/dim,1773325488291,track_new,5,,,
1773325477700_reentry,reentry,near/dim,1773325488470,track_lost,5,,,
1773325477700_reentry,reentry,near/dim,1773325488925,track_new,6,,,
1773325477700_reentry,reentry,near/dim,1773325490522,track_lost,6,,,
1773325477700_reentry,reentry,near/dim,1773325493414,track_new,7,,,
1773325477700_reentry,reentry,near/dim,1773325494695,track_lost,7,,,
