trial_id,trial_type,condition,frame_idx,t_ms,n_dets,n_tracks,det_track_ms,embed_ms,match_ms,total_ms,new_tracks,lost_tracks,unknown_tracks
1773343639632_swipe,swipe,near/dim,1,1773343639784,0,0,79.998,0.0,0.0,82.0,0,0,0
1773343639632_swipe,swipe,near/dim,2,1773343639869,0,0,69.476,0.0,0.0,70.476,0,0,0
1773343639632_swipe,swipe,near/dim,3,1773343639947,0,0,62.724,0.0,0.0,64.258,0,0,0
1773343639632_swipe,swipe,near/dim,4,1773343640024,0,0,61.456,0.0,0.0,62.457,0,0,0
1773343639632_swipe,swipe,near/dim,5,1773343640105,0,0,64.582,0.0,0.0,66.581,0,0,0
1773343639632_swipe,swipe,near/dim,6,1773343640190,0,0,67.032,0.0,0.0,69.03,0,0,0
1773343639632_swipe,swipe,near/dim,7,1773343640268,0,0,61.915,0.0,0.0,63.913,0,0,0
1773343639632_swipe,swipe,near/dim,8,1773343640359,0,0,69.427,0.0,0.0,71.431,0,0,0
1773343639632_swipe,swipe,near/dim,9,1773343640444,0,0,65.182,0.0,0.0,67.186,0,0,0
1773343639632_swipe,swipe,near/dim,10,1773343640561,0,0,100.279,0.0,0.0,102.276,0,0,0
1773343639632_swipe,swipe,near/dim,11,1773343640650,0,0,67.068,0.0,0.0,69.063,0,0,0
1773343639632_swipe,swipe,near/dim,12,1773343640744,0,0,74.251,0.0,0.0,75.251,0,0,0
1773343639632_swipe,swipe,near/dim,13,1773343640833,0,0,71.781,0.0,0.0,73.781,0,0,0
1773343639632_swipe,swipe,near/dim,14,1773343640920,0,0,66.793,0.0,0.0,68.802,0,0,0
1773343639632_swipe,swipe,near/dim,15,1773343641008,0,0,65.34,0.0,0.0,67.347,0,0,0
1773343639632_swipe,swipe,near/dim,16,1773343641108,0,0,79.238,0.0,0.0,80.227,0,0,0
1773343639632_swipe,swipe,near/dim,17,1773343641193,0,0,62.88,1.001,0.0,64.881,0,0,0
1773343639632_swipe,swipe,near/dim,18,1773343641268,0,0,58.126,0.0,0.0,60.134,0,0,0
1773343639632_swipe,swipe,near/dim,19,1773343641352,0,0,64.604,0.0,0.0,65.604,0,0,0
